Sido,Sigun,id,LeeJ,Yoon,Shim,Oh,Huh,LeeB,Ok,KimK,Cho,KimJ,LeeK,KimM,
??,??,28110,0.4921,0.4681,0.0257,0.0004,0.0105,0.0002,0.0001,0.0002,0.0009,0.0008,0.0001,0.0003,
??,??,28140,0.473,0.4845,0.0294,0.0007,0.0085,0.0002,0,0.0001,0.001,0.0011,0.0004,0.0004,
??,????,28170,0.4752,0.4825,0.0276,0.0006,0.0108,0.0002,0.0001,0.0002,0.0007,0.0007,0.0002,0.0004,
??,???,28185,0.4491,0.5149,0.0274,0.0004,0.0058,0.0002,0,0.0001,0.0005,0.0005,0.0001,0.0002,
??,???,28200,0.4973,0.4618,0.0282,0.0006,0.0089,0.0002,0.0001,0.0002,0.0007,0.0009,0.0002,0.0004,
??,???,28237,0.5084,0.4503,0.0286,0.0006,0.0086,0.0002,0.0001,0.0002,0.0008,0.0009,0.0003,0.0004,
??,???,28245,0.5231,0.4352,0.0286,0.0006,0.0089,0.0003,0.0001,0.0003,0.0006,0.0011,0.0003,0.0004,
??,??,28260,0.5094,0.4501,0.0279,0.0005,0.009,0.0002,0.0001,0.0002,0.0006,0.0007,0.0002,0.0003,
??,???,28710,0.3548,0.6096,0.0205,0.0004,0.0106,0.0004,0.0002,0.0002,0.0007,0.0008,0.0006,0.0006,
??,???,28720,0.3558,0.5999,0.0207,0.001,0.0171,0.0008,0.0002,0.0003,0.0007,0.0012,0.0007,0.001,
??,??,29110,0.8269,0.1504,0.0144,0.0003,0.0053,0.0002,0,0.0002,0,0.0011,0.0001,0.0004,
??,??,29140,0.8463,0.1304,0.0147,0.0003,0.0055,0.0002,0,0.0001,0,0.0013,0.0001,0.0004,
??,??,29155,0.8427,0.1348,0.014,0.0004,0.0054,0.0002,0.0001,0.0001,0.0001,0.0011,0.0002,0.0004,
??,??,29170,0.8512,0.124,0.0154,0.0004,0.0064,0.0002,0,0.0001,0.0001,0.0011,0.0001,0.0003,
??,???,29200,0.8552,0.1175,0.016,0.0005,0.0072,0.0003,0,0.0001,0.0001,0.0018,0.0001,0.0006,
??,??,30110,0.4635,0.4954,0.0254,0.0007,0.0113,0.0002,0.0001,0.0002,0.0007,0.0011,0.0003,0.0005,
??,??,30140,0.4449,0.5166,0.0252,0.0004,0.0094,0.0002,0.0001,0.0003,0.0006,0.0011,0.0003,0.0004,
??,??,30170,0.4631,0.4967,0.0279,0.0005,0.0089,0.0002,0.0001,0.0002,0.0005,0.0008,0.0002,0.0003,
??,???,30200,0.475,0.4866,0.0283,0.0005,0.0069,0.0001,0.0001,0.0001,0.0005,0.0008,0.0002,0.0002,
??,???,30230,0.4737,0.4828,0.0274,0.0008,0.011,0.0003,0.0001,0.0002,0.0008,0.0015,0.0003,0.0005,
??,??,31110,0.3811,0.5737,0.0271,0.0005,0.0119,0.0003,0.0001,0.0002,0.001,0.0027,0.0003,0.0004,
??,??,31140,0.3746,0.5843,0.0252,0.0003,0.0109,0.0002,0.0001,0.0002,0.0009,0.0021,0.0002,0.0004,
??,??,31170,0.4568,0.4831,0.0351,0.0006,0.0163,0.0009,0.0001,0.0003,0.0007,0.0048,0.0003,0.0004,
